Entry #,Pseudo-Page,Chuukese Word / Form,Part of Speech,English Definition,Examples,Notes
2207,168,nengeni,,"look at, glance, examine",,Extracted from page 168
2208,168,nengeniéchú,,(same as “nengenifichi”),,Extracted from page 168
2209,168,nengenisefáli,,look at something again,,Extracted from page 168
2210,168,nennengeni,,"look closely at, examine, inspect	(reduplicatin also conveys repetitive action)",,Extracted from page 168
2211,168,nennefetál,,look around nennesefál – look back again,,Extracted from page 168
2212,169,nennengaw,,blurry	(can’t see clearly),,Extracted from page 169
2213,169,"ne, -to, -ló. -tá, -tiw",,"lóng, -wu – look	(once)",,Extracted from page 169
2214,169,"nenne,-to, -ló, -tá,-tiw, -lóng, -wu",,look	(multiple),,Extracted from page 169
2215,169,nenneló,,"wake up, woke up ánneloi – to awake up nennelói – to look at",,Extracted from page 169
2216,169,ánenna,,watchful	(being aware of),,Extracted from page 169
2217,169,newenewen (1),,"look directly at, straight ahead",,Extracted from page 169
2218,169,newenewen (2),,stare	(as one does when angry)	pronounce - glosbe,,Extracted from page 169
2219,169,newenewen ngeni,,"stare at newenewene, -to, -lo, -tá, -tiw, -long, -wu – stare",,Extracted from page 169
2220,169,nerikirik,,look from side to side nerikirikfetál – look all around,,Extracted from page 169
2221,169,nesékúr,,look behind,,Extracted from page 169
2222,169,nennesékúr,,looking behind,,Extracted from page 169
2223,169,nesékúriiti,,"look behind (literally), look back in the past nesefáliiti – look back at something again",,Extracted from page 169
2224,169,nengngin,,girl,,Extracted from page 169
2225,169,nengnginin,,girl of	(from where),,Extracted from page 169
2226,169,neni,,to taste,,Extracted from page 169
2227,169,nennan,,its taste nennen – taste of nekken – salty taste,,Extracted from page 169
2228,169,nekkeniken,,really salty nekkenin – salty taste of,,Extracted from page 169
2229,170,nekúrach,,fishy taste,,Extracted from page 170
2230,170,nekúracharach,,strong fishy taste nekúrachen – fishi taste of,,Extracted from page 170
2231,170,nemaatat,,gritty taste,,Extracted from page 170
2232,170,nemaataten,,"gritty tast of nengaw – taste bad, tasteless,",,Extracted from page 170
2233,170,nengawan,,its tastelessness nengawen – tastelessness of,,Extracted from page 170
2234,170,nepat,,"bland taste, no flavor nepaten – blandness of nepatan – its blandness",,Extracted from page 170
2235,170,nesetirú,,brackish taste,,Extracted from page 170
2236,170,nesetirúún,,brackishness of,,Extracted from page 170
2237,170,nenneiruk,,"surprise, astonished	(unexpected)",,Extracted from page 170
2238,170,néúkechen,,"spoil, pamper	(negative)",,Extracted from page 170
2239,170,néúni,,"keep, own, possess	(animate, with exceptions)	(see “n, -ei”)",,Extracted from page 170
2240,170,néúnéú,,"use, give birth	(see “n, -ei”)",,Extracted from page 170
2241,170,néúwis,,"someone in command, power, authority, leader néúwisin – authority of",,Extracted from page 170
2242,170,néúwisin mwu,,government official néúwisin lamalam – religious clergy,,Extracted from page 170
2243,170,newenewen,,pronuciation newenewenan – its pronunciation ánewenewa – to pronounce newenewenen – pronunciation of,,Extracted from page 170
2244,170,ngáchengách,,false teeth,,Extracted from page 170
2245,170,ngaf,,"step over, to leap over	(an obstacle)",,Extracted from page 170
2246,170,ngafeló wói,,step over me	(see “wóón” for possesive pronoun suffix),,Extracted from page 170
2247,171,ngang,,me	(stand alone pronoun – see page 1 #2),,Extracted from page 171
2248,171,ua,,"I, I am, I was	(present & past tense)",,Extracted from page 171
2249,171,upwe,,"I	will (be), I’m going to, I’m going to be",,Extracted from page 171
2250,171,upwele,,I	will immediately,,Extracted from page 171
2251,171,use,,"I	did not, didn’t	(ute sometimes used)",,Extracted from page 171
2252,171,usap,,"I	will not, won’t upwap – I	will do later usaamwo – I	haven’t yet",,Extracted from page 171
2253,171,ngas (1),,breathe,,Extracted from page 171
2254,171,ngasangas,,breathe,,Extracted from page 171
2255,171,ngasangasen,,breath of ngaseraalong – breathe in,,Extracted from page 171
2256,171,ngasetá,,(same as “ngaseraalong”),,Extracted from page 171
2257,171,ngasewu,,breathe out,,Extracted from page 171
2258,171,ngasetiw,,(same as “ngasewu”),,Extracted from page 171
2259,171,ngaseri,,breathe,,Extracted from page 171
2260,171,ngasangaseri,,"breathe ngaselap – take a deep breath ngasepwich – panting, breathing hard",,Extracted from page 171
2261,171,ngas (2),,"free, liberated",,Extracted from page 171
2262,172,ngaseló,,"freed, liberated angasa – to free",,Extracted from page 172
2263,172,angasaaló,,to free,,Extracted from page 172
2264,172,angasasefáli,,"release again	(people, animals)",,Extracted from page 172
2265,172,ngaseseni,,freed from,,Extracted from page 172
2266,172,ngar,,sweet	(taste),,Extracted from page 172
2267,172,fisingarangar,,excessively sweet ngarangar – too sweet,,Extracted from page 172
2268,172,ngaren,,sweetness of,,Extracted from page 172
2269,172,ngaw,,"bad, evil, worse	(often attached to a word to give a negative connotation)",,Extracted from page 172
2270,172,ngawen,,badness of ngawóló – worsening,,Extracted from page 172
2271,172,ngawólóón,,worsening of ngangngawóló – worsening,,Extracted from page 172
2272,172,ngangngawólóón,,worsening of angawa – to corrupt,,Extracted from page 172
2273,172,angawaaló,,v. to make bad eingawa – to corrupt,,Extracted from page 172
2274,172,ingaw,,same as “ngaw”,,Extracted from page 172
2275,172,ingawen,,(same as “ngawen”),,Extracted from page 172
2276,173,nge,,but,,Extracted from page 173
2277,173,ngeni,,"to, give to, toward",,Extracted from page 173
2278,173,Examples:,,ngeniei	kilisou ngeni Jiowa	riri ngeni Jiowa,,Extracted from page 173
2279,173,"(indicates equality,",,"until,	indicates range,	result of change)",,Extracted from page 173
2280,173,Examples:,,a léllé ngeni Atam	1 ngeni 4	sái ngeni Jerusalam	siwil ngeni eú paratis,,Extracted from page 173
2281,173,ngerei,,to cut with a saw ngerenger – n. saw	(tool) ángerenger – trim,,Extracted from page 173
2282,173,ángerengera,,"v., vt. to trim ngeréú – thousand",,Extracted from page 173
2283,173,engeréú,,one thousand ngeréún – thousands,,Extracted from page 173
2284,173,nget,,flame,,Extracted from page 173
2285,173,ngetenget,,strongly burning,,Extracted from page 173
2286,173,ngengetenget,,burning	(reduplication also conveys repetitive action) ngengnget – burning continuously (reduplication also conveys repetitive action) ngeten – flame of,,Extracted from page 173
2287,173,ngetetá,,burning upward ngetengetetá – flame up,,Extracted from page 173
2288,173,ngiimón,,"feeling in the teeth when fingernails are run over a blackboard ngiingi – accent, voice, sound",,Extracted from page 173
2289,174,ngiingiin,,"voice, sound, accent of	(people, musical instruments, etc.)",,Extracted from page 174
2290,174,ngiimmóng,,"loud voice, speak loudly ngiraatá – raise the voice",,Extracted from page 174
2291,174,ngiitá,,"high voice, raise the voice ngiitiw – low voice, lower the voice",,Extracted from page 174
2292,174,ngiiéch,,good voice ngiingaw – bad voice,,Extracted from page 174
2293,174,ngiiri,,hum or sing the tune of a song,,Extracted from page 174
2294,174,ngún,,often refers to the soul or spirit of a person	(false doctrine),,Extracted from page 174
2295,174,ngúnún,,spirit of,,Extracted from page 174
2296,174,ngún mi fel,,"holy ghost, sometimes used as holy spirit ngún mi ngaw – bad spirits, demon",,Extracted from page 174
2297,174,ngúng,,"to chew	(sugarcane, betel nut)",,Extracted from page 174
2298,174,ngúnúen,,"shadow of	(people, animals)",,Extracted from page 174
2299,174,ngúúngú,,"groan, moan",,Extracted from page 174
2300,174,ngúúngún,,groaning of ngúngúúres – groan loudly ngúnúngún – grumble,,Extracted from page 174
2301,174,ngúnúngúnú,,"grumble about someone ngúnúngúnúkkis – grumble all the time ngúnúngúnmwáál – complain without cause ngúnúngúnsefál – grumble, complain again",,Extracted from page 174
2302,175,ngúnúngúnúngaw,,"complain, murmur",,Extracted from page 175
2303,175,ngúnúngúnúngawa,,"complain, murmur about someone",,Extracted from page 175
2304,175,méngúúngú,,sound of voices,,Extracted from page 175
2305,175,méngúngúún,,voices of mwéngúnúngún – whisper,,Extracted from page 175
2306,175,ngút,,tight	(muscles),,Extracted from page 175
2307,175,tough,,(food: steak),,Extracted from page 175
2308,175,tight,,(clothes)(used by older ones),,Extracted from page 175
2309,175,ngútúpwéét,,blocked nasal passage  (stuck nose),,Extracted from page 175
2310,175,niamam,,feel regret	(for doing something wrong),,Extracted from page 175
2311,175,niamamen,,regretfulness of niamamóló – regreted,,Extracted from page 175
2312,175,niamamesini,,possessing the feeling of regret over a period of time niamamsefál – feel regret again,,Extracted from page 175
2313,175,nich,,leak,,Extracted from page 175
2314,175,nichin,,leak of,,Extracted from page 175
2315,175,ninnich,,leaking	(reduplication also conveys repetitive action),,Extracted from page 175
2316,176,nichiiti,,leaking toward enichi – cause to leak,,Extracted from page 176
2317,176,niéch,,pretty	(female) niemúrinné – good woman nienkatek – nun,,Extracted from page 176
2318,176,nifich,,skilfull	(in fighting),,Extracted from page 176
2319,176,nifichifich,,more than skillful niini – pour,,Extracted from page 176
2320,176,niitiw,,spill over,,Extracted from page 176
2321,176,niiniitiw,,"overflowing, spilling over	(reduplication also conveys repetitive action)",,Extracted from page 176
2322,176,niini ngeni,,pour a liquid for someone,,Extracted from page 176
2323,176,nii ngeni,,to splash someone with a cup of water nikachéch – booth,,Extracted from page 176
2324,176,fetellapen nikachéch,,festival of booths nikamaaúch – seesaw,,Extracted from page 176
2325,176,nikamwaún,,swing	(playground apparatus),,Extracted from page 176
2326,176,nikápéépé,,"loose fitting	(clothes, shoes, ring, etc.)",,Extracted from page 176
2327,176,tikak,,tight fitting	(see “tikak”),,Extracted from page 176
2328,176,ngút,,(used by older ones),,Extracted from page 176
2329,176,nikáppich,,"bow & arrow, slingshot, spear fishing with a sling nikáppichi – shoot a slingshot",,Extracted from page 176
2330,176,nikápwesepwes,,baggy	(clothes),,Extracted from page 176
2331,177,nikápwesepwesin,,bagginess of,,Extracted from page 177
2332,177,nikáttik,,musical instrument	(see “ttik”),,Extracted from page 177
2333,177,nikatupwél,,head covering	(what sisters would use on a Bible study),,Extracted from page 177
2334,177,nikaúnún,,sling	(what David used),,Extracted from page 177
2335,177,nikesiwil,,exchange	(see “wil”),,Extracted from page 177
2336,177,nikinik (1),,appearance,,Extracted from page 177
2337,177,nikinikin,,"shape of, appearance of, likeness of enikiniki – make to appear like",,Extracted from page 177
2338,177,nikinikéch,,good appearance,,Extracted from page 177
2339,177,nikinikéchún,,good appearance of nikinikingaw – bad appearance,,Extracted from page 177
2340,177,nikinikingawen,,bad appearance of nikinik (2) – watch over,,Extracted from page 177
2341,177,nikiniki,,to watch over nikken – mosquito,,Extracted from page 177
2342,177,nikééké,,married people who go everywhere together	(see “kéé”),,Extracted from page 177
2343,177,nikopwór,,mist	(water),,Extracted from page 177
2344,177,nikopwórun,,mist of,,Extracted from page 177
2345,178,nimárámársefál,,backslide	(see “már”),,Extracted from page 178
2346,178,ningeringer,,"furious, enraged ningeringeritá – increasing fury ningeringeriiti – furious at",,Extracted from page 178
2347,178,ningngio,,doll ningónóngón – stare at,,Extracted from page 178
2348,178,ninni,,kill	(see “nni”),,Extracted from page 178
2349,178,nipisipiskón,,butterfly,,Extracted from page 178
2350,178,nippwe,,twins	(people),,Extracted from page 178
2351,178,nippween,,twin of nippwei – land crab nipung – hives,,Extracted from page 178
2352,178,nissimwa,,adj.  cowardly	(opposite of pwora),,Extracted from page 178
2353,178,niu,,"afraid, fear, scared	(“niw” – another spelling)",,Extracted from page 178
2354,178,niuelapeiti,,"intensified fear of eniueniw – terrifying, scary eniua – vt. to frighten, scare",,Extracted from page 178
2355,178,niuokkus (1),,"scared, terrified, horrified",,Extracted from page 178
2356,178,niuokkusun,,be terrified of,,Extracted from page 178
2357,178,eniuokkus,,"adj. terrible, terrifying, frightening eniuokkusu – vt. to frighten",,Extracted from page 178
2358,179,eniuokkusun,,"horribleness of, frightfulness of",,Extracted from page 179
2359,179,niuokkus (2),,"respect, in awe of	(as in Godly fear)	(synonym of mennin)",,Extracted from page 179
2360,179,niwówóómén,,repeat what another has said,,Extracted from page 179
2361,179,niwówóóménú,,"v., vt.  to repeat what another has said",,Extracted from page 179
2362,179,nni,,"kill, hit, murder",,Extracted from page 179
2363,179,nieló,,to kill nnifóchei – kill forever,,Extracted from page 179
2364,179,ninni,,"killing, hitting	(reduplication also conveys repetitive action)",,Extracted from page 179
2365,179,ninniiló,,killed ninniilóón – killing of,,Extracted from page 179
2366,179,nnimanaw,,murder iráán ninni – torture stake,,Extracted from page 179
2367,179,nnóp,,"stacked, piled up",,Extracted from page 179
2368,179,nnópetá,,stacked on nnóppóló – stacked nnópéch – stacked properly,,Extracted from page 179
2369,179,annópéchú,,vi. to stack properly,,Extracted from page 179
2370,179,"annópéchúe, -tá, -tiw",,"stack up, down	(properly)",,Extracted from page 179
2371,180,nnópóngaw,,stacked improperly annópóngawa – vi. to stack improperly,,Extracted from page 180
2372,180,annópa,,"v., vt, to stack kannóp – int. are stacked annópaatá – to stack it up",,Extracted from page 180
2373,180,nnou,,adj. disgusted by	(feeling of the person),,Extracted from page 180
2374,180,nnoukken,,disgusted by everything or everyone nnouesini – disgusted with,,Extracted from page 180
2375,180,annou,,disgusting	(an object),,Extracted from page 180
2376,180,announ,,"disgustingness of nnum – crease, fold, hem",,Extracted from page 180
2377,180,nnumi,,"v. to crease, fold, hem",,Extracted from page 180
2378,180,kinum,,"wrinkled	(clothes, paper)",,Extracted from page 180
2379,180,nnup,,ripe	(fruit),,Extracted from page 180
2380,180,nnupuló,,completely ripe annupu – to ripen,,Extracted from page 180
2381,180,nnúr,,"shrink, shrank, has shrunk nnúrúló – shrunk",,Extracted from page 180
2382,180,annúrú,,"to shrink nofit – mix, blend",,Extracted from page 180
2383,180,nofitifit,,blended	(flavors of foods),,Extracted from page 180
2384,180,nofitfengen,,mixed together nofitifengeni – to mix together,,Extracted from page 180
2385,180,nom,,"stay, remain, living at	(at that time)",,Extracted from page 180
2386,180,nonnom,,"presence, staying, living at	(residing at)	(reduplication also conveys repetitive action)",,Extracted from page 180
2387,180,nomóló,,remain nomsefál – stay again,,Extracted from page 180
2388,181,nomfengen,,"stay together, living together nomfesen – stay apart, live apart nomófetál – stay at different places",,Extracted from page 181
2389,181,nomottam,,"stay a long time nomottamóló – staying, remaining nomofóch – remain",,Extracted from page 181
2390,181,nomofócheló,,stay permanently nomofóchófóch – remain forever,,Extracted from page 181
2391,181,nonnomoppós,,"remain firm nonnomotiw – stay, remain anomu – to put, to place, to locate",,Extracted from page 181
2392,181,nonnomun,,circumstances of,,Extracted from page 181
2393,181,nonnoméch,,comfortable circumstances,,Extracted from page 181
2394,181,nóng,,house fly nóó – wave,,Extracted from page 181
2395,181,nóón,,wave of nóóló – rough seas,,Extracted from page 181
2396,181,nóónóón,,rough seas of nóólapalap – big waves nóópwopwo – rolling waves nóóter – flood,,Extracted from page 181
2397,181,nóóm,,lake,,Extracted from page 181
2398,181,nóómun,,lake of nóót – type of fish,,Extracted from page 181
2399,181,nót,,pus notou – west,,Extracted from page 181
2400,181,notoun,,west of,,Extracted from page 181
2401,181,noum,,"your	(see “n, -ei”)",,Extracted from page 181
2402,182,nuch,,"sound the knuckles cracking, etc.",,Extracted from page 182
2403,182,núesik,,show off	(provocatively),,Extracted from page 182
2404,182,núk,,"tight	(door, cover, etc.)",,Extracted from page 182
2405,182,núkfengen,,"held fast together annúkú – tighten, secure núkúnúk – secured",,Extracted from page 182
2406,182,núkúnúkéch,,security,,Extracted from page 182
2407,182,núkúnúkéchúló,,secured núkúnúkéchúún – security of,,Extracted from page 182
2408,182,núkúnúkúngaw,,"insecure, risky núkúnúkúngawen – insecurity of",,Extracted from page 182
2409,182,núkúchar,,"hold fast, persevere, immovable",,Extracted from page 182
2410,182,núkúcharetiw,,(same as “núkúchar”. The “tiw” suffix conveys a greater degree),,Extracted from page 182
2411,182,núkúcharen,,"perseverance of, immovableness of anúkúchara – cause to be steadfast",,Extracted from page 182
2412,182,núkúmach,,stubborn,,Extracted from page 182
2413,182,núkúnúkéch,,"security	(see “núk”) nuum – bailer for a canoe or boat nuumw – scum, seaweed, moss",,Extracted from page 182
2414,182,nuumwun,,scum of núnú – chew,,Extracted from page 182
2415,182,nupu,,startled,,Extracted from page 182
2416,182,ónupu,,to startle,,Extracted from page 182
2417,183,núr,,shadow	(of inanimate objects),,Extracted from page 183
2418,183,núrún,,"shadow of nús – moved, postponed",,Extracted from page 183
2419,183,annúsú,,"to postpone, change annúsaaló – to move to another time",,Extracted from page 183
2420,183,núú,,coconut	(drinking stage),,Extracted from page 183
2421,183,núwen,,acting like,,Extracted from page 183
2422,183,núwengaw,,flirting,,Extracted from page 183
2423,183,núwengawen,,flirting of,,Extracted from page 183
2424,183,núwenúwengaw,,flirtatious	(provocative body language),,Extracted from page 183
2425,183,och,,"some	(part of a whole, a part or a little of something)",,Extracted from page 183
2426,183,och mettoch,,something,,Extracted from page 183
2427,183,ochooch,,v  eat	(raw with exceptions),,Extracted from page 183
2428,184,ocheei,,vt  eat,,Extracted from page 184
2429,184,oesini,,prophecy,,Extracted from page 184
2430,184,oesinien,,prophecy of óófi – w19 June lesson 26 par. 14 ófes – office,,Extracted from page 184
2431,184,ófesin,,office of ófesilap – headquarters,,Extracted from page 184
2432,184,ófesilapen,,headquarters of keangen ófes – branch office,,Extracted from page 184
2433,184,okasi,,candy,,Extracted from page 184
2434,184,ókkoun,,"swear, curse	(bad words)",,Extracted from page 184
2435,184,ókkókkoun,,"always swearing, cursing	(reduplication also conveys repetitive action)",,Extracted from page 184
2436,184,ókkouna,,to swear at,,Extracted from page 184
2437,184,ókkókkouna,,always swearing at	(reduplication also conveys repetitive action),,Extracted from page 184
2438,184,okukumwiri,,to make secondary	(anything not made a priority)	(see “kukumwir”),,Extracted from page 184
2439,184,ola,,to twist,,Extracted from page 184
2440,184,olafengen,,"entwined, as in a cord	(word primarily used in the Bible)",,Extracted from page 184
2441,184,ól,,yellow,,Extracted from page 184
2442,185,óleól,,yellow,,Extracted from page 185
2443,185,óleólun,,yellowness of ólópwech – light yellow kióleól – yellowish,,Extracted from page 185
2444,185,óm,,"your	(stand alone pronoun – see page 1, #2) omusaaló – I’m sorry	(see “mus”) ommwung – love magic",,Extracted from page 185
2445,185,ommwunga,,to use love magic omwocha – costume jewelry omwomwen – facial expression of,,Extracted from page 185
2446,185,omwongaw,,unkempt facial appearance omwotáp – dry facial appearance,,Extracted from page 185
2447,185,óneti,,"spread out , open	(pliable things)",,Extracted from page 185
2448,185,ónnusu,,"relocate people, things	(see “nus”)",,Extracted from page 185
2449,185,onomu,,"to place, to put	(same as “anomu”)",,Extracted from page 185
2450,185,ononoto,,"keep your senses, be watchful ooch – reef",,Extracted from page 185
2451,185,oone,,expression of sorrow or grief óós – tin roof,,Extracted from page 185
2452,185,óóssun,,tin roof of,,Extracted from page 185
2453,185,op,,hide,,Extracted from page 185
2454,185,opóló,,hidden opolóng – hidden in aopa – to hide,,Extracted from page 185
2455,185,opaló,,to hide,,Extracted from page 185
2456,185,aopaaló,,"to hide away koper – to be hidden, to spy on",,Extracted from page 185
2457,185,kokkoper,,spying on	(reduplication also conveys repetitive action),,Extracted from page 185
2458,186,chón koper,,a spy,,Extracted from page 186
2459,186,operi,,"be hidden from, spy on, wait in ambush for",,Extracted from page 186
2460,186,okkoperi,,(reduplication also conveys repetitive action),,Extracted from page 186
2461,186,oppos,,injection	(see “ppos”),,Extracted from page 186
2462,186,opuchopuch,,senseless	(see “puch”),,Extracted from page 186
2463,186,sáfeien opuchopuch,,illegal drugs opuni – beat or strike with a stick,,Extracted from page 186
2464,186,opup,,hit or strike,,Extracted from page 186
2465,186,oput,,"dislike, hate	(“opwut” – alternate spelling)",,Extracted from page 186
2466,186,oputa,,"v., vt. to hate",,Extracted from page 186
2467,186,okkoput,,hating	(reduplication also conveys repetitive action),,Extracted from page 186
2468,186,oputasini,,"strong dislike, hate oputfengen – mutual dislike",,Extracted from page 186
2469,186,"óputafengeni, -kem, -kemi, -ir, -kich",,mutual dislike,,Extracted from page 186
2470,186,us	you	them	us	(pronouns,,"see pg.1, #4)",,Extracted from page 186
2471,186,koput,,int. hatred,,Extracted from page 186
2472,186,koputen,,hatred of koputfengen – mutual hatred,,Extracted from page 186
2473,186,nioputásini,,abhor,,Extracted from page 186
2474,187,ánioput,,"loathing, strong dislike ores – wash one’s face",,Extracted from page 187
2475,187,óris,,horse,,Extracted from page 187
2476,187,orisin,,horse of oromaaló – swallow,,Extracted from page 187
2477,187,órósset,,"shore, coast	(see “sáát”)",,Extracted from page 187
2478,187,órun,,"approximately, about, around Óruu – Tuesday",,Extracted from page 187
2479,187,óruuan,,second	(in sequence)	(see “ruu”),,Extracted from page 187
2480,187,osenimu,,"do something grudgingly, unwillingly	(also see “asopwisek”)",,Extracted from page 187
2481,187,osowá,,vowel,,Extracted from page 187
2482,187,osukosuk,,"troubled, problem, worried, upset, busy	(sense of being burdened with much work, etc.)",,Extracted from page 187
2483,187,osukosuken,,trouble of,,Extracted from page 187
2484,187,okkosukosuk,,regularly having trouble  (reduplication also conveys repetitive action) okkosukosuka – making trouble	(reduplication also conveys repetitive action) osukosukfengen – trouble or problem between two persons,,Extracted from page 187
2485,187,aosukosuk,,inconvenienced,,Extracted from page 187
2486,188,osun,,"in need of, require, lack	(see James 1:4, 5)",,Extracted from page 188
2487,188,osur,,n. a whistle,,Extracted from page 188
2488,188,ettiki eú osur,,(to blow a whistle),,Extracted from page 188
2489,188,osupwang,,"in need, lacking, poor",,Extracted from page 188
2490,188,osupwangen,,lacking of,,Extracted from page 188
2491,188,otopwu,,"to make obscure, cloudy	(see “topw”)",,Extracted from page 188
2492,188,otot,,cut or pull weeds,,Extracted from page 188
2493,188,otei,,v.  to pull weeds,,Extracted from page 188
2494,188,ótót,,system	(see “kkót”),,Extracted from page 188
2495,188,óttek,,"swear, curse	(lesser degree than “ókkoun”)",,Extracted from page 188
2496,188,ótteki,,"to swear, curse",,Extracted from page 188
2497,188,otupu,,mislead	(see “tup”),,Extracted from page 188
2498,188,oturawu,,throw out,,Extracted from page 188
2499,188,oturukapa,,to stumble others	(see “tur”),,Extracted from page 188
2500,188,oua,,"you are, you were	(see “ámi”) ouwasacha – inspect, check out, examine	(see “sach”) ouwotapw – succession  (happen in quick)	(see “tapw”)",,Extracted from page 188
2501,189,paa,,"bait, lead, guide",,Extracted from page 189
2502,189,pake,,fishing lure paan – bait of,,Extracted from page 189
2503,189,paani (1),,"lead, guide",,Extracted from page 189
2504,189,pappaani,,leading,,Extracted from page 189
2505,189,paani (2),,"mention, to speak of paarang – rust, rusty,",,Extracted from page 189
2506,189,paarangen,,rust of paarangarang – excessively rusty apaaranga – cause to rust,,Extracted from page 189
2507,189,paatá,,flattered,,Extracted from page 189
2508,189,apaatái,,to flatter,,Extracted from page 189
2509,189,pach,,"attach, bond, stick, join, connect, add pacheetá – to attach, to stick on pachetá – attached to, included",,Extracted from page 189
2510,189,apacha,,"add to, join to, connect to appach – glue, chewing gum",,Extracted from page 189
2511,189,appacha,,to apply glue apachaatá – vt. attach,,Extracted from page 189
2512,190,kapachetá,,stuck on,,Extracted from page 190
2513,190,kapach,,"attach, add, addition, plus",,Extracted from page 190
2514,190,pacheri,,"attach to, join to, bond to, stick to",,Extracted from page 190
2515,190,pachelong,,included,,Extracted from page 190
2516,190,apachaalong,,"to add in, to include in kapachelong – added in",,Extracted from page 190
2517,190,pacheéch,,strong bond	(can be use figuratively),,Extracted from page 190
2518,190,pacheéchfengen,,"strong bond of two or more persons or things pachfengen – attach together, bond together",,Extracted from page 190
2519,190,apachafengeni,,"to add together, include together, connect kapachelapen – total of	(in number)",,Extracted from page 190
2520,190,"kapachelap, -an, -er",,total,,Extracted from page 190
2521,190,pachchach,,smash,,Extracted from page 190
2522,190,apachchacha,,to smash,,Extracted from page 190
2523,191,pái,,"lean, slant",,Extracted from page 191
2524,191,ápea,,"vt.  to slant, tilt",,Extracted from page 191
2525,191,ákkápea,,"slanting, tilting",,Extracted from page 191
2526,191,páipái,,lean toward	(can be used figuratively),,Extracted from page 191
2527,191,kopái,,crooked paiking – infection,,Extracted from page 191
2528,191,paikingin,,infection of pake – lure,,Extracted from page 191
2529,191,pakkeen,,lure of,,Extracted from page 191
2530,191,pakking,,"penalty, fine	(for breaking a law)",,Extracted from page 191
2531,191,pakkingen,,penalty of pakutang – bomb,,Extracted from page 191
2532,191,pakutangei,,to destroy by bombing,,Extracted from page 191
2533,191,papatais,,baptize,,Extracted from page 191
2534,191,papataisi,,to baptize,,Extracted from page 191
2535,191,papataiseló,,baptized,,Extracted from page 191
2536,191,papataisin,,"baptising of, baptism of par – red",,Extracted from page 191
2537,191,parapar,,red,,Extracted from page 191
2538,191,paraparen,,"reddnes of apara – redden, make red parachón – dark red",,Extracted from page 191
2539,192,partik,,bright red,,Extracted from page 192
2540,192,paras,,spray	(a fine mist),,Extracted from page 192
2541,192,paraseiset,,sea spray parasfeil – spray all around,,Extracted from page 192
2542,192,parasú,,"gravel, aggrigate paratis – paradise",,Extracted from page 192
2543,192,paratisin,,paradise of,,Extracted from page 192
2544,192,pariki,,horsepower	(engine),,Extracted from page 192
2545,192,parikiin,,horsepower of pari – party,,Extracted from page 192
2546,192,pariin,,party of,,Extracted from page 192
2547,192,pas,,bus	(Chuukese pronunciation of English),,Extracted from page 192
2548,192,pat,,"cool, cold",,Extracted from page 192
2549,192,pateló,,cooling down,,Extracted from page 192
2550,192,patapateló,,getting colder patapaten – coolness of,,Extracted from page 192
2551,192,patapat,,"cool, cold patekkich – very cold",,Extracted from page 192
2552,192,patiri,,battery,,Extracted from page 192
2553,192,pattiriin,,battery of,,Extracted from page 192
2554,192,paun,,"pound, weight	(measure)",,Extracted from page 192
2555,192,paunen,,weight of paunei – to weigh,,Extracted from page 192
2556,192,paw,,hand,,Extracted from page 192
2557,193,péún,,hand of,,Extracted from page 193
2558,193,lepoun,,at the hand of pwoomw – demonstration,,Extracted from page 193
2559,193,pwomweni,,"demonstrate, gesture, imitate, move the hands pwomwen – demonstration of",,Extracted from page 193
2560,193,nipwopwpwom,,"mimic, imitate	(copy someone’s movement)",,Extracted from page 193
2561,193,nipwopwpwomwei,,"v., vt.  to mimic",,Extracted from page 193
2562,193,pésapei,,"slap the cheek, face",,Extracted from page 193
2563,193,péúfich,,right hand,,Extracted from page 193
2564,193,péúméng,,left hand,,Extracted from page 193
2565,193,pe,,"lose consciousnes die, dead, lose feeling in a limb, exhausted	(idiom)",,Extracted from page 193
2566,193,peeló,,"unconscious, died",,Extracted from page 193
2567,193,pé,,"empty (liquid in a container), desolate, unoccupied pééló – completely empty",,Extracted from page 193
2568,194,péén,,emptyness of,,Extracted from page 194
2569,194,péénúló,,barren	(land),,Extracted from page 194
2570,194,péénaaló,,empty –,,Extracted from page 194
2571,194,péénirawu,,empty out péénnúló – emptied,,Extracted from page 194
2572,194,péénnúlóón,,"emptiness of apéénnú – to empty, to make barren",,Extracted from page 194
2573,194,pea,,"pair, couple	(people)",,Extracted from page 194
2574,194,pean,,a pair of,,Extracted from page 194
2575,194,pean pwúpwúlú,,married couple,,Extracted from page 194
2576,194,péchékkúl,,"strong, healthy, hard, tough, encourage	(feeling)",,Extracted from page 194
2577,194,péchékkúlen,,"strength of apéchékkúl – strengthens, encourages",,Extracted from page 194
2578,194,apéchékkúla,,"to strengthen, to encourage",,Extracted from page 194
2579,194,akkapéchékkúla,,continually strengthening	(reduplication also conveys repetitive action),,Extracted from page 194
2580,195,péchékkúleló,,get stronger péppéchékkúleló – get stronger apéchékkúlaaló – to strengthen,,Extracted from page 195
2581,195,péchékkúletá,,"powerful, powerfulness péchékkúletáán – powerfulness of",,Extracted from page 195
2582,195,péppéchékkúletá,,"strengthening, getting stronger apéchékkúlaatá – to increase the strength",,Extracted from page 195
2583,195,péchékkúlsefál,,"regained strength, strong again, healthy again apéchékkúlasefáli – to strengthen again",,Extracted from page 195
